Date,Description,Amount
2026-02-08,Harbor View Apartments Rent,-1650
2026-02-09,Evergreen Auto Insurance,-180
2026-02-10,Metro Auto Loan Payment,-410
2026-02-14,Northstar Studio Paycheck,2400
2026-02-17,Market Basket,-72.48
2026-02-22,Shell Fuel,-46.25
2026-02-28,Northstar Studio Paycheck,2400
2026-03-05,Trader Joe's,-54.16
2026-03-08,Harbor View Apartments Rent,-1650
2026-03-09,Evergreen Auto Insurance,-180
2026-03-10,Metro Auto Loan Payment,-410
2026-03-14,Northstar Studio Paycheck,2400
2026-03-19,Green Leaf Cafe,-18.72
2026-03-28,Northstar Studio Paycheck,2400
2026-04-02,Whole Foods Market,-63.9
2026-04-08,Harbor View Apartments Rent,-1650
2026-04-09,Evergreen Auto Insurance,-180
2026-04-10,Metro Auto Loan Payment,-410
2026-04-11,Northstar Studio Paycheck,2400
2026-04-16,CVS Pharmacy,-27.43
2026-04-25,Northstar Studio Paycheck,2400
2026-05-03,Neighborhood Hardware,-38.21
2026-05-08,Harbor View Apartments Rent,-1650
2026-05-09,Evergreen Auto Insurance,-180
2026-05-09,Northstar Studio Paycheck,2400
2026-05-10,Metro Auto Loan Payment,-410
2026-05-17,Pet Supply Store,-44.8
2026-05-23,Northstar Studio Paycheck,2400
2026-06-01,Corner Coffee,-8.45
2026-06-06,Northstar Studio Paycheck,2400
2026-06-08,Harbor View Apartments Rent,-1650
2026-06-09,Evergreen Auto Insurance,-180
2026-06-10,Metro Auto Loan Payment,-410
2026-06-15,City Parking,-16
2026-06-20,Northstar Studio Paycheck,2400
2026-07-02,Local Grocer,-68.34
2026-07-04,Northstar Studio Paycheck,2400
2026-07-08,Harbor View Apartments Rent,-1650
2026-07-09,Evergreen Auto Insurance,-180
2026-07-10,Metro Auto Loan Payment,-410
2026-07-16,Community Pharmacy,-22.75
2026-07-18,Northstar Studio Paycheck,2400
2026-07-27,Weekend Market,-41.28
2026-07-30,Metro Fuel,-49.6
2026-08-01,Northstar Studio Paycheck,2400
