Date,Description,Amount
2026-05-04,Harbor View Apartments Rent,-1650.00
2026-05-06,Evergreen Auto Insurance,-180.00
2026-05-06,Metro Auto Loan Payment,-410.00
2026-05-19,Northstar Studio Payroll,2400.00
2026-05-22,Fresh Market Groceries,-96.42
2026-06-02,Northstar Studio Payroll,2400.00
2026-06-04,Harbor View Apartments Rent,-1650.00
2026-06-06,Evergreen Auto Insurance,-180.00
2026-06-06,Metro Auto Loan Payment,-410.00
2026-06-09,City Electric Utility,-84.20
2026-06-16,Northstar Studio Payroll,2400.00
2026-06-20,Fresh Market Groceries,-112.18
2026-06-30,Northstar Studio Payroll,2400.00
2026-07-04,Harbor View Apartments Rent,-1650.00
2026-07-06,Evergreen Auto Insurance,-180.00
2026-07-06,Metro Auto Loan Payment,-410.00
2026-07-09,City Electric Utility,-91.75
2026-07-14,Northstar Studio Payroll,2400.00
2026-07-18,Fresh Market Groceries,-104.63
2026-07-28,Northstar Studio Payroll,2400.00
2026-07-30,Corner Coffee,-7.80
2026-08-01,Fresh Market Groceries,-88.35
2026-08-02,Neighborhood Pharmacy,-24.60
